capability_code,Service,Purpose,Inputs,Outputs,Service Level,Governance,Success,Consumers
software-release,Deployment Governance Service,determine and coordinate readiness for deployment,"quality assurance evidence, release candidate","release recommendation, deployment coordination record",risk-adjusted go/no-go accuracy,"release policy, change-control standard",release deployed without rollback,Operations
operating-production-systems,Availability Assurance Service,keep deployed systems reliable and observable,"deployed software, monitoring configuration","operational intelligence, incident records, performance data","uptime, mean-time-to-detect",SLA/operational policy,agreed availability target met,"Requirements Engineering (feedback), Architecture (feedback)"
recovering-organisational-knowledge,Knowledge Discovery Service,reconstruct engineering understanding not currently captured,"legacy artefacts, historical decisions, source code",recovered knowledge item,"accuracy, provenance completeness",knowledge validation policy,recovered knowledge validated and published,"Architecture, Knowledge Management"
learning,Operational Intelligence Service,convert production experience into reusable understanding,"incident records, telemetry, operational evidence","operational knowledge, lessons learned","actionability, timeliness",organisational-learning policy,knowledge item published and referenced by future decisions,"Requirements Engineering, Architecture, Operations"
engineering-practice-improvement,Standard Refinement Service,keep engineering standards current with accumulated evidence,"evidence from service delivery, review findings","revised standard, checklist, practice guidance","adoption rate, defect-reduction impact",standards-governance policy,revised standard formally published,every capability
adapting-business-needs,Capability Realignment Service,keep the capability portfolio aligned to shifting objectives,"revised or superseded Objectives, market/business signal","capability gap assessment, realignment recommendation","responsiveness, accuracy of gap identification",strategic-governance policy,capability portfolio reflects current Objectives,"organisational leadership, Template Model (Book 3 analogue)"
continuous-architectural-analysis,Architectural Awareness Service,"maintain continuous, always-current architectural integrity assessment",every artefact/model change,"real-time conformance status, drift alerts","latency (near-zero), false-positive rate",architecture policy,no undetected divergence exceeding tolerance,"Architecture, Software Construction"
real-time-organisational-documentation,Continuous Documentation Service,keep documentation synchronised with current system state at all times,every artefact change,continuously updated documentation,"currency (zero lag), accuracy",documentation standard,no documentation ever found stale at audit,"Operations, Knowledge Management, customers"
automatic-traceability-generation,Continuous Trace Awareness Service,keep every artefact relationship current without manual maintenance,every artefact/decision change,live traceability graph,"completeness, no orphaned link",traceability policy,full trace path reconstructible on demand,"Governance, Knowledge Management, Verification"
legacy-modernisation,Legacy Knowledge Reconstruction Service,reconstruct disappeared engineering knowledge from legacy artefacts,"legacy code, historical records, operational history",reconstructed knowledge item with provenance,accuracy against ground truth where verifiable,knowledge validation policy,reconstructed knowledge validated by domain review,"Architecture, Knowledge Management"
continuous-compliance-verification,Persistent Compliance Service,evaluate every change against applicable policy the instant it occurs,every architectural/implementation/deployment/operational event,"continuous compliance status, violation alerts","zero-lag detection, coverage of all applicable frameworks",every active Compliance Pack's policy,no compliance violation reaches release undetected,"Governance, Release Management"
engineering-decision-explainability,Decision Rationale Service,keep every significant decision connected to its supporting evidence and outcome,"decision record, supporting evidence, governing policy",explainable decision trace,completeness of rationale chain,decision-governance policy,any decision explainable on demand without reconstruction effort,"Governance, audit/regulatory stakeholders"
evidence-based-organisational-reasoning,Organisational Reasoning Service,let engineering decisions emerge from accumulated organisational understanding rather than isolated discussion,"organisational knowledge base, accumulated evidence",reasoned recommendation,"consistency with prior precedent, evidentiary support",decision-governance policy,recommendation accepted or explicitly overridden with rationale,every capability
continuous-requirements-validation,Continuous Requirement Conformance Service,"keep the requirement baseline validated as it evolves, not only at baseline-freeze",every requirement change,continuous validation status,zero-lag detection of newly introduced conflict,requirements-management policy,no invalid requirement reaches architecture undetected,Architecture
predictive-engineering-risk-assessment,Engineering Risk Forecast Service,forecast engineering risk before it materialises,"historical risk/outcome data, current engineering state",risk forecast with confidence level,predictive accuracy (calibrated against outcomes),risk-management policy,"forecast risk actually materialising within predicted window, tracked","Governance, Release Management"
continuous-quality-assurance,Continuous Confidence Service,maintain an always-current confidence assessment rather than a point-in-time one,every code/test change,"live confidence score, defect findings","coverage, latency",quality policy,confidence score never stale at any release decision,Release Management
organisational-memory-synthesis,Cross-Project Knowledge Synthesis Service,synthesise reusable understanding across every concurrent and historical project,knowledge items from every project,"synthesised, generalised knowledge","generalisability, non-contradiction",knowledge acquisition-scope policy (cf. Book 3 Ch.16 §12),synthesised knowledge reused by at least one other project,"every capability, every project"
continuous-organisational-learning,Continuous Learning Service,keep the capability-improvement loop running without waiting for retrospectives,evidence generated by every service interaction,capability-improvement recommendation,cycle time between evidence and improvement,organisational-learning policy,measurable capability-maturity increase over time,every capability
autonomous-capability-optimisation,Capability Self-Optimisation Service,improve a capability's own effectiveness without waiting for external direction,capability performance evidence,"applied optimisation, improvement record","measurable performance delta, non-regression",capability-ownership policy,optimisation improves measured capability metric without introducing regression,capability owner
enterprise-wide-engineering-impact-analysis,Cross-Enterprise Impact Analysis Service,assess the consequence of a proposed change across the entire enterprise before it's made,"proposed change, full trace graph",impact report spanning affected capabilities/projects,completeness of affected-entity discovery,change-control policy,no unanticipated downstream impact discovered post-change,"Governance, Architecture"
continuous-stakeholder-intent-reconciliation,Stakeholder Intent Reconciliation Service,"keep requirement understanding synchronised with scattered, ongoing stakeholder signal","meetings, tickets, support conversations, email",continuously reconciled intent baseline,"currency, conflict detection",requirements policy,no stale intent baseline older than defined threshold,Requirements Engineering
continuous-domain-model-drift-detection,Domain Model Conformance Service,detect the moment the domain model diverges from actual business behaviour,"domain model, live business signal",drift alert,detection latency,Ontology policy,drift corrected before it propagates into requirements,"Requirements Engineering, Architecture"
predictive-architectural-obsolescence-detection,Architectural Obsolescence Forecast Service,"forecast when a pattern will fail to scale, before it breaks","usage/load telemetry, architectural model",obsolescence forecast,"lead time before actual failure, accuracy",architecture policy,forecast pattern replaced before failure occurs,Architecture
cross-system-structural-pattern-recognition,Cross-System Pattern Recognition Service,identify structural weakness in one system by reasoning across every system's architecture simultaneously,architectural models of every system,identified structural pattern/risk,cross-system coverage,architecture policy,pattern confirmed applicable and addressed,Architecture
cross-codebase-pattern-propagation,Fix Propagation Service,"propagate a fix or improvement to every place it applies, instantly","applied fix, codebase inventory","propagation candidates, applied propagations","precision (no incorrect propagation), coverage",change-control policy,all valid instances remediated,Software Construction
continuous-configuration-drift-detection,Configuration Conformance Service,verify deployed configuration matches declared intent at all times,"declared configuration, live environment state","drift alert, remediation recommendation","detection latency, coverage across environments",configuration-management policy,drift remediated before incident occurs,"Operations, Configuration Management"
predictive-test-coverage-gap-detection,Coverage Gap Forecast Service,"identify defect classes current coverage would fail to catch, before they occur","historical defect data, current test suite, architecture",predicted coverage gap,predictive precision,quality policy,predicted gap closed before associated defect class occurs,Verification
continuous-vulnerability-posture-assessment,Continuous Security Posture Service,maintain whole-portfolio security exposure awareness continuously,every code/infrastructure change,live posture status,"coverage, zero-lag",security policy,no critical exposure undetected between assessments (there are none — it's continuous),"Security, Governance"
predictive-threat-pattern-anticipation,Threat Anticipation Service,check the organisation's own exposure the moment a new attack pattern emerges elsewhere,"external threat intelligence, internal system inventory",anticipatory exposure assessment,time-to-check after new pattern publication,security policy,exposure checked and mitigated before exploitation,Security
continuous-policy-conflict-detection,Policy Consistency Service,detect latent contradiction across every active policy/standard/decision,full policy corpus,conflict report,"coverage, false-positive rate",governance policy itself,no unresolved conflict reaches enforcement,Governance
continuous-release-risk-management,Release Risk Forecast Service,"maintain an ongoing, updating risk prediction for an in-progress release","full history of prior release outcomes, current release content",continuously updated risk score,calibration accuracy,release policy,risk score correlates with actual post-release incident rate,Release Management
predictive-incident-anticipation,Incident Anticipation Service,recognise precursor conditions of a future incident before it manifests,continuous telemetry,anticipatory alert,"lead time, false-positive rate",operational policy,anticipated incident prevented or mitigated pre-emptively,Operations
autonomous-root-cause-synthesis,Root-Cause Synthesis Service,reconstruct a full root-cause chain the instant an incident occurs,"code, infrastructure, configuration, decision history",synthesised root-cause chain,"accuracy, completeness, time-to-synthesis",incident-management policy,root cause confirmed correct on human review,"Operations, Governance"
autonomous-standard-synthesis,Standard Synthesis Service,draft or refine engineering standards directly from accumulating evidence,evidence from service delivery across the organisation,proposed standard revision,"evidentiary grounding, adoption rate post-publication",standards-governance policy,proposed revision formally adopted,"Governance, every capability"
cross-organisational-capability-benchmarking,Capability Benchmarking Service,compare this organisation's capability maturity against every other capability instance the platform hosts,capability maturity data (where sharing permitted),"benchmark report, improvement opportunity","comparability, tenant-isolation compliance",multi-tenancy/data-sharing policy (Book 3 Ch.42),benchmark-identified opportunity acted upon,"Governance, capability owners"
continuous-objective-alignment-monitoring,Objective Alignment Service,continuously check ongoing engineering work still serves its stated Objective,"active Objective, current engineering state","alignment status, drift alert",detection latency,strategic-governance policy,drift corrected or Objective formally revised before divergence compounds,"Governance, organisational leadership"
business-analysis-approach,BA Approach Definition Service,"determine the appropriate elicitation technique, deliverable set, and stakeholder-engagement plan for a given engagement before any elicitation begins","the governing Objective's Statement, Template/commissioning context, stakeholder complexity, regulatory context","a defined BA approach — selected techniques, deliverable set, governance checkpoints, stakeholder engagement plan","fitness of approach to context (right-sized, neither over- nor under-specified for the engagement), completeness of governance checkpoints","organisational BA standard, Template's commissioning parameters",approach approved by sponsoring authority before elicitation begins,"Discovering business requirements (#1), Understanding business domains (#2), Validating engineering requirements (#3)"
requirements-prioritising,Requirement Prioritisation Service,"rank validated requirements by relative value, risk and dependency to guide delivery sequencing","validated requirement baseline (output of #3), business value criteria, dependency graph, risk assessment","a prioritised, ranked requirement backlog","consistent application of ranking criteria, documented rationale for every ranking, stakeholder agreement","prioritisation policy, sponsor approval threshold",sponsor/product owner approves the ranked backlog,"Designing software architecture (#5, sequences design work), Constructing software systems (#6, sequences implementation), Managing software release (#12, sequences delivery)"
solution-options,Solution Option Recommendation Service,compare candidate solution options against the business need and recommend the one delivering the greatest net value,"validated requirement baseline, candidate solution options, cost/risk/value estimate for each option","comparative option analysis, recommended solution with documented rationale","completeness of options considered, transparency and defensibility of comparison criteria, full traceability from recommendation back to requirement","investment/procurement governance policy, architecture standard where options are technical","sponsoring authority accepts the recommendation, or explicitly overrides it with documented rationale","Designing software architecture (#5, receives the selected option as design input), Governing engineering decisions (#11, investment decision)"
integrating-constructed-components,Component Integration Service,"combine separately constructed components into a coherent, working whole","individually constructed components (#6), interface definitions (#5)",integrated system/subsystem ready for verification,"interface conformance, absence of integration defects, completeness","integration standard, interface/API policy",integrated whole functions coherently and is accepted into system-level verification,Verifying software quality (#8)
engineering-assets-reuse,Asset Reuse Service,"identify and leverage existing components, libraries or patterns instead of building from scratch","requirement/design need, organisational asset inventory",identified reusable asset with fitness assessment,"fitness-for-purpose accuracy, security and quality vetting of the reused asset","reuse policy, licensing and security vetting standard","reusable asset adopted in place of new construction, or explicitly rejected with documented rationale",Constructing software systems (#6)
engineering-work-review,Engineering Review Service,statically examine a completed artefact for defects and standard-conformance without executing it,"completed artefact (code or design), applicable standard/checklist","review findings, approval or rejection decision","coverage, reviewer independence from the artefact's producer, consistency of applied standard","review policy, separation-of-duties requirement","artefact approved for progression, or findings resolved and re-reviewed","Constructing software systems (#6), Verifying software quality (#8)"
corrective-actions,Problem Elimination Service,"maintain a standing record of known-but-unresolved root causes and systematically eliminate them, independent of any single incident","aggregated incident and root-cause history (#44), operational telemetry trend","eliminated root causes, known-error record for those still open","closure rate, recurrence rate after closure",problem-management policy,"recurring root cause permanently eliminated, confirmed by absence of recurrence over a defined period","Operating production systems (#13), Learning from operational experience (#15)"
defect-management,Defect Resolution Service,"track, triage, prioritise and close defects, functional and security, as a standing lifecycle","defect findings (#8, #39), severity and impact criteria","triaged and prioritised defect backlog, resolved and closed defects","triage consistency, resolution timeliness relative to severity, no defect left untracked","defect-management policy, severity-classification standard","defect closed and verified resolved, or explicitly deferred with documented rationale and owner","Constructing software systems (#6), Managing software release (#12, gated on defect status)"
vendor-supplier-management,Vendor Management Service,"formally manage relationships with external vendors, suppliers and service providers","vendor/supplier candidates, contractual requirements, third-party risk criteria","vendor contract, ongoing performance record, third-party risk assessment","contract-compliance rate, vendor performance against SLA, completeness of risk assessment","procurement policy, third-party risk-management standard","vendor relationship delivers contracted value within acceptable risk, or is terminated per policy","Constructing software systems (#6, consumes vendor-supplied components), Protecting organisational assets (#10, needs third-party risk input)"
capability-evolution,Capability Stewardship Service,"ensure a capability continues to serve the organisation effectively over time, distinct from exercising it day to day","capability performance and telemetry data, evidence accumulated through service delivery (the Capability→Service→Evidence→Knowledge loop, Ch.7 §7.10), the current Objective set defining what capability the organisation actually needs, the existing capability portfolio","capability maturity assessment, identified capability gaps, capability metrics, a coordinated evolution roadmap ","the five dimensions §6.13 names for capability measurement itself — outcome consistency, resilience, adaptability, organisational learning, alignment with organisational objective","capability-ownership mandate, strategic-governance policy — explicitly not line-management authority (§6.11: ""should not be confused with traditional line management"")","measurable increase in capability maturity over time, and every identified gap either addressed or explicitly accepted as strategic debt with a named owner","Governing engineering decisions (#11), Adapting to changing business need (#17), and every capability whose maturity is being assessed"
change-management,Change Evaluation and Scheduling Service,"evaluate, approve, schedule and coordinate a proposed change based on its risk and potential conflict with other concurrent changes","the change request, the current schedule of other approved or pending changes, risk-classification criteria ","an approved, rejected, or rescheduled change decision, with a conflict assessment against other in-flight changes ","consistency of risk assessment across similar changes, accuracy of conflict detection (no two conflicting changes approved into the same window), decision timeliness relative to the change's urgency","change-management policy, risk-classification standard","the change proceeds without causing an avoidable conflict or incident, or is correctly rejected or rescheduled before it can ","Managing engineering configuration (#7, records the approved change into the baseline), Constructing software systems (#6, implements it), Managing software release (#12, release scheduling depends on which changes have cleared)"
