capability,role,worktypes
"Modelling complex systems","Model Validation","[Model Consistency Checking, Model Completeness Checking, Model Behaviour Validation]"

"Designing software architecture","Architecture Design","[Architecture Definition, Architectural Structure Design, Architectural Pattern Selection]"
"Designing software architecture","Architecture Analysis","[Architecture Analysis, Trade-off Analysis, Constraint Analysis]"
"Designing software architecture","Architecture Decomposition","[System Decomposition, Component Decomposition, Responsibility Allocation]"
"Designing software architecture","Architecture Evaluation","[Architecture Review, Quality Attribute Evaluation, Alternative Evaluation]"
"Designing software architecture","Architecture Evolution","[Architecture Change Analysis, Architecture Modification, Architecture Migration Design]"

"Constructing software systems","Implementation","[Component Construction, Feature Construction, Interface Construction, Change Implementation]"
"Constructing software systems","Component Ownership","[Component Maintenance, Component Evolution, Component Integrity Management]"
"Constructing software systems","Code Review","[Implementation Review, Code Quality Review, Defect Identification, Maintainability Review]"
"Constructing software systems","Integration","[Component Integration, Interface Integration, Integration Conflict Resolution]"
"Constructing software systems","Defect Correction","[Defect Diagnosis, Defect Reproduction, Corrective Implementation, Correction Verification]"
"Constructing software systems","Refactoring","[Structural Improvement, Code Simplification, Duplication Removal, Maintainability Improvement]"
"Constructing software systems","Technical Debt Remediation","[Debt Identification, Debt Assessment, Debt Reduction, Debt Elimination]"
"Constructing software systems","Build and Packaging","[Build Configuration, Compilation, Dependency Resolution, Packaging]"
"Constructing software systems","Development Tooling","[Development Automation, Developer Utilities, Code Generation, Development Environment Support]"
"Constructing software systems","Implementation Verification","[Unit Verification, Static Analysis, Implementation Inspection, Verification Execution]"

"Managing engineering configuration","Configuration Identification","[Configuration Item Identification, Configuration Structure Definition, Configuration Attribute Definition]"
"Managing engineering configuration","Version Management","[Version Creation, Version Tracking, Branch Management, Merge Management]"
"Managing engineering configuration","Baseline Management","[Baseline Creation, Baseline Maintenance, Baseline Comparison, Baseline Restoration]"
"Managing engineering configuration","Configuration Change Tracking","[Change Recording, Change Association, Change History Tracking]"
"Managing engineering configuration","Configuration Status Accounting","[Configuration Status Recording, Version Status Reporting, Baseline Status Reporting]"
"Managing engineering configuration","Configuration Verification","[Configuration Comparison, Configuration Integrity Checking, Configuration Verification]"

"Verifying software quality","Quality Verification","[Quality Criteria Verification, Quality Attribute Verification, Quality Result Verification]"
"Verifying software quality","Test Design","[Test Scenario Design, Test Case Design, Test Data Design, Test Condition Design]"
"Verifying software quality","Test Execution","[Test Execution, Result Capture, Failure Analysis, Retesting]"
"Verifying software quality","Test Automation","[Automated Test Development, Test Automation Execution, Automated Result Analysis]"
"Verifying software quality","Defect Detection","[Failure Detection, Defect Identification, Defect Classification, Defect Reproduction]"
"Verifying software quality","Quality Measurement","[Quality Measurement, Quality Metric Collection, Quality Trend Analysis]"

"Documenting engineering work","Engineering Documentation","[Technical Documentation, Design Documentation, Implementation Documentation, Operational Documentation]"
"Documenting engineering work","Technical Writing","[Content Authoring, Technical Explanation, Procedure Writing, Reference Writing]"
"Documenting engineering work","Documentation Maintenance","[Content Updating, Documentation Synchronisation, Obsolete Content Removal]"
"Documenting engineering work","Documentation Validation","[Content Verification, Consistency Checking, Completeness Checking, Accuracy Checking]"
"Documenting engineering work","Documentation Structuring","[Information Organisation, Content Classification, Cross-Referencing, Documentation Indexing]"

"Protecting organisational assets","Asset Protection","[Asset Identification, Asset Classification, Asset Protection]"
"Protecting organisational assets","Access Protection","[Access Control, Permission Management, Authentication Protection, Authorisation Enforcement]"
"Protecting organisational assets","Data Protection","[Data Classification, Data Protection, Data Encryption, Data Handling]"
"Protecting organisational assets","Security Monitoring","[Security Event Monitoring, Exposure Monitoring, Anomaly Detection]"
"Protecting organisational assets","Vulnerability Management","[Vulnerability Identification, Vulnerability Assessment, Vulnerability Tracking, Remediation]"
"Protecting organisational assets","Threat Analysis","[Threat Identification, Threat Analysis, Threat Correlation, Exposure Analysis]"

"Governing engineering decisions","Decision Analysis","[Decision Problem Definition, Option Analysis, Trade-off Analysis, Consequence Analysis]"
"Governing engineering decisions","Decision Evaluation","[Decision Criteria Evaluation, Evidence Evaluation, Alternative Evaluation]"
"Governing engineering decisions","Decision Recording","[Decision Capture, Rationale Recording, Decision Context Recording]"
"Governing engineering decisions","Decision Traceability","[Decision-to-Evidence Linking, Decision-to-Requirement Linking, Decision History Tracking]"
"Governing engineering decisions","Decision Review","[Decision Reassessment, Outcome Review, Decision Validity Review]"

"Managing software release","Release Planning","[Release Scope Definition, Release Scheduling, Release Dependency Analysis]"
"Managing software release","Release Preparation","[Release Readiness Preparation, Release Configuration, Deployment Preparation]"
"Managing software release","Release Packaging","[Build Assembly, Package Creation, Artifact Assembly, Release Metadata]"
"Managing software release","Release Validation","[Release Verification, Release Acceptance Testing, Deployment Validation]"
"Managing software release","Release Deployment","[Deployment Execution, Environment Promotion, Deployment Verification]"
"Managing software release","Release Tracking","[Release Status Tracking, Deployment Tracking, Release Outcome Tracking]"

"Operating production systems","Production Monitoring","[System Monitoring, Service Monitoring, Event Monitoring, Health Monitoring]"
"Operating production systems","Operational Management","[Operational Scheduling, Operational Coordination, Routine Operations, Operational Maintenance]"
"Operating production systems","Performance Management","[Performance Monitoring, Performance Analysis, Performance Tuning]"
"Operating production systems","Capacity Management","[Capacity Monitoring, Capacity Analysis, Capacity Forecasting, Capacity Adjustment]"
"Operating production systems","Availability Management","[Availability Monitoring, Availability Analysis, Availability Improvement]"
"Operating production systems","Operational Support","[Operational Issue Handling, User Support, Service Restoration, Operational Assistance]"

"Recovering organisational knowledge","Knowledge Discovery","[Knowledge Source Discovery, Historical Evidence Discovery, Legacy Knowledge Discovery]"
"Recovering organisational knowledge","Knowledge Extraction","[Information Extraction, Concept Extraction, Rule Extraction, Relationship Extraction]"
"Recovering organisational knowledge","Knowledge Reconstruction","[Process Reconstruction, Architecture Reconstruction, Behaviour Reconstruction, Decision Reconstruction]"
"Recovering organisational knowledge","Knowledge Validation","[Evidence Validation, Knowledge Consistency Checking, Knowledge Accuracy Checking]"
"Recovering organisational knowledge","Knowledge Structuring","[Knowledge Classification, Knowledge Modelling, Knowledge Organisation, Knowledge Linking]"

"Learning from operational experience","Experience Capture","[Incident Capture, Operational Experience Capture, User Experience Capture]"
"Learning from operational experience","Incident Learning","[Incident Analysis, Failure Analysis, Recovery Analysis, Incident Learning]"
"Learning from operational experience","Pattern Identification","[Pattern Discovery, Recurrence Analysis, Cross-Incident Analysis]"
"Learning from operational experience","Lesson Extraction","[Lesson Identification, Lesson Extraction, Lesson Validation]"
"Learning from operational experience","Knowledge Consolidation","[Lesson Consolidation, Experience Synthesis, Knowledge Integration]"

"Improving engineering practice","Practice Analysis","[Practice Observation, Practice Analysis, Practice Comparison]"
"Improving engineering practice","Practice Evaluation","[Practice Effectiveness Evaluation, Outcome Analysis, Practice Assessment]"
"Improving engineering practice","Practice Improvement","[Improvement Identification, Practice Modification, Practice Optimisation]"
"Improving engineering practice","Experimentation","[Experiment Design, Practice Experimentation, Experiment Evaluation]"
"Improving engineering practice","Practice Adoption","[Practice Selection, Practice Introduction, Practice Application, Adoption Assessment]"

"Adapting to changing business need","Change Identification","[Business Change Detection, Change Signal Analysis, Need Identification]"
"Adapting to changing business need","Impact Analysis","[Business Impact Analysis, Engineering Impact Analysis, Dependency Impact Analysis]"
"Adapting to changing business need","Requirement Adaptation","[Requirement Modification, Requirement Reconciliation, Requirement Prioritisation]"
"Adapting to changing business need","Solution Adaptation","[Solution Modification, Architecture Adaptation, Design Adaptation]"
"Adapting to changing business need","Change Implementation","[Change Construction, Change Integration, Change Verification]"

"Continuous architectural analysis","Architecture Monitoring","[Architecture Observation, Architecture State Tracking, Architecture Change Detection]"
"Continuous architectural analysis","Architecture Analysis","[Structural Analysis, Dependency Analysis, Quality Attribute Analysis, Trend Analysis]"
"Continuous architectural analysis","Architecture Evaluation","[Architecture Assessment, Architecture Comparison, Architecture Suitability Analysis]"
"Continuous architectural analysis","Architecture Drift Detection","[Architecture Comparison, Drift Detection, Divergence Analysis]"
"Continuous architectural analysis","Architecture Impact Analysis","[Architecture Change Impact, Dependency Impact, Cross-System Impact]"

"Real-time organisational documentation","Documentation Generation","[Content Extraction, Document Generation, Documentation Assembly]"
"Real-time organisational documentation","Documentation Synchronisation","[Implementation-to-Documentation Synchronisation, Change Synchronisation, Cross-Document Synchronisation]"
"Real-time organisational documentation","Documentation Validation","[Accuracy Checking, Consistency Checking, Completeness Checking]"
"Real-time organisational documentation","Documentation Refinement","[Content Improvement, Structure Improvement, Clarity Improvement]"
"Real-time organisational documentation","Documentation Maintenance","[Change Detection, Content Update, Obsolete Content Removal]"

"Automatic traceability generation","Traceability Establishment","[Relationship Discovery, Artefact Linking, Trace Creation]"
"Automatic traceability generation","Traceability Maintenance","[Trace Updating, Relationship Updating, Trace Synchronisation]"
"Automatic traceability generation","Traceability Validation","[Trace Verification, Relationship Verification, Trace Consistency Checking]"
"Automatic traceability generation","Traceability Gap Detection","[Missing Link Detection, Broken Link Detection, Trace Coverage Analysis]"
"Automatic traceability generation","Traceability Analysis","[Trace Analysis, Impact Analysis, Dependency Analysis]"

"Knowledge recovery from legacy systems","Legacy Knowledge Discovery","[Legacy Code Analysis, Legacy Document Analysis, Historical Evidence Analysis]"
"Knowledge recovery from legacy systems","Behaviour Reconstruction","[Runtime Behaviour Analysis, Business Rule Reconstruction, Workflow Reconstruction]"
"Knowledge recovery from legacy systems","Architecture Reconstruction","[Architecture Extraction, Component Discovery, Structural Reconstruction]"
"Knowledge recovery from legacy systems","Dependency Reconstruction","[Dependency Discovery, Interface Discovery, Data Dependency Analysis]"
"Knowledge recovery from legacy systems","Knowledge Validation","[Recovered Knowledge Validation, Behaviour Validation, Evidence Validation]"

"Continuous compliance verification","Compliance Assessment","[Obligation Identification, Compliance Assessment, Applicability Assessment]"
"Continuous compliance verification","Compliance Evidence Analysis","[Evidence Collection, Evidence Extraction, Evidence Evaluation]"
"Continuous compliance verification","Compliance Gap Detection","[Gap Identification, Nonconformance Detection, Coverage Analysis]"
"Continuous compliance verification","Compliance Verification","[Requirement Checking, Control Verification, Evidence Verification]"
"Continuous compliance verification","Compliance Monitoring","[Continuous Checking, Compliance State Monitoring, Change Monitoring]"

"Engineering decision explainability","Decision Evidence Linking","[Evidence Discovery, Evidence Linking, Supporting Evidence Identification]"
"Engineering decision explainability","Decision Rationale Capture","[Rationale Extraction, Rationale Recording, Assumption Recording]"
"Engineering decision explainability","Decision Traceability","[Decision-to-Evidence Linking, Decision-to-Requirement Linking, Decision History]"
"Engineering decision explainability","Decision Context Reconstruction","[Context Reconstruction, Constraint Reconstruction, Objective Reconstruction]"
"Engineering decision explainability","Decision Outcome Analysis","[Outcome Tracking, Outcome Comparison, Decision Effectiveness Analysis]"

"Evidence-based organisational reasoning","Evidence Discovery","[Evidence Search, Evidence Retrieval, Evidence Identification]"
"Evidence-based organisational reasoning","Evidence Synthesis","[Evidence Aggregation, Evidence Consolidation, Evidence Synthesis]"
"Evidence-based organisational reasoning","Knowledge Correlation","[Cross-Source Correlation, Relationship Discovery, Pattern Correlation]"
"Evidence-based organisational reasoning","Evidence Evaluation","[Evidence Quality Assessment, Evidence Relevance Assessment, Evidence Consistency Assessment]"
"Evidence-based organisational reasoning","Organisational Reasoning","[Contextual Reasoning, Constraint Reasoning, Causal Reasoning, Comparative Reasoning]"

"Continuous requirements validation","Continuous Requirement Validation","[Requirement Monitoring, Requirement Revalidation, Requirement Consistency Checking]"
"Continuous requirements validation","Requirement Consistency Monitoring","[Conflict Monitoring, Dependency Monitoring, Consistency Monitoring]"
"Continuous requirements validation","Requirement Completeness Monitoring","[Completeness Monitoring, Missing Requirement Detection, Boundary Monitoring]"
"Continuous requirements validation","Requirement Drift Detection","[Requirement Change Detection, Intent Drift Detection, Baseline Comparison]"
"Continuous requirements validation","Requirement Traceability Monitoring","[Trace Monitoring, Trace Gap Detection, Trace Consistency Monitoring]"

"Predictive engineering risk assessment","Risk Identification","[Risk Signal Detection, Risk Discovery, Risk Classification]"
"Predictive engineering risk assessment","Risk Prediction","[Risk Forecasting, Risk Probability Estimation, Risk Trend Prediction]"
"Predictive engineering risk assessment","Risk Correlation","[Risk Relationship Analysis, Historical Correlation, Cross-System Risk Correlation]"
"Predictive engineering risk assessment","Risk Impact Analysis","[Impact Assessment, Consequence Analysis, Exposure Analysis]"
"Predictive engineering risk assessment","Risk Trend Analysis","[Risk Trend Monitoring, Emerging Risk Detection, Risk Pattern Analysis]"

"Continuous quality assurance","Quality Monitoring","[Quality Signal Monitoring, Quality State Monitoring, Quality Trend Monitoring]"
"Continuous quality assurance","Quality Assessment","[Quality Assessment, Quality Attribute Assessment, Quality Baseline Comparison]"
"Continuous quality assurance","Quality Verification","[Quality Checking, Quality Evidence Verification, Quality Result Verification]"
"Continuous quality assurance","Quality Trend Analysis","[Quality Trend Analysis, Regression Detection, Quality Pattern Analysis]"
"Continuous quality assurance","Quality Gap Detection","[Gap Detection, Quality Deviation Detection, Quality Coverage Analysis]"

"Organisational memory synthesis","Knowledge Aggregation","[Project Knowledge Collection, Artefact Collection, Experience Collection]"
"Organisational memory synthesis","Knowledge Correlation","[Cross-Project Correlation, Cross-Domain Correlation, Relationship Discovery]"
"Organisational memory synthesis","Cross-Project Synthesis","[Project Comparison, Commonality Identification, Difference Analysis, Knowledge Synthesis]"
"Organisational memory synthesis","Pattern Extraction","[Pattern Discovery, Recurrence Detection, Cross-Project Pattern Analysis]"
"Organisational memory synthesis","Knowledge Consolidation","[Knowledge Deduplication, Knowledge Integration, Knowledge Consolidation]"

"Continuous organisational learning","Experience Capture","[Experience Collection, Outcome Collection, Event Collection]"
"Continuous organisational learning","Knowledge Extraction","[Lesson Extraction, Pattern Extraction, Knowledge Extraction]"
"Continuous organisational learning","Pattern Learning","[Pattern Discovery, Recurrence Learning, Relationship Learning]"
"Continuous organisational learning","Lesson Synthesis","[Lesson Consolidation, Lesson Correlation, Lesson Generalisation]"
"Continuous organisational learning","Practice Adaptation","[Practice Change Identification, Practice Modification, Practice Application]"

"Autonomous capability optimisation","Capability Assessment","[Capability Measurement, Capability State Assessment, Capability Gap Assessment]"
"Autonomous capability optimisation","Capability Analysis","[Capability Structure Analysis, Capability Dependency Analysis, Capability Performance Analysis]"
"Autonomous capability optimisation","Performance Analysis","[Performance Measurement, Performance Trend Analysis, Bottleneck Analysis]"
"Autonomous capability optimisation","Improvement Identification","[Improvement Opportunity Discovery, Gap Analysis, Improvement Prioritisation]"
"Autonomous capability optimisation","Optimisation","[Optimisation Analysis, Change Simulation, Optimisation Implementation, Outcome Evaluation]"

"Enterprise-wide engineering impact analysis","Impact Discovery","[Impact Signal Discovery, Affected Asset Discovery, Change Scope Discovery]"
"Enterprise-wide engineering impact analysis","Dependency Analysis","[Dependency Discovery, Dependency Mapping, Dependency Traversal]"
"Enterprise-wide engineering impact analysis","Change Impact Analysis","[Change Impact Assessment, Requirement Impact, Architecture Impact, Implementation Impact]"
"Enterprise-wide engineering impact analysis","Cross-System Impact Analysis","[Cross-System Dependency Analysis, Cross-System Impact Assessment, Portfolio Impact Analysis]"
"Enterprise-wide engineering impact analysis","Impact Propagation Analysis","[Impact Propagation Mapping, Downstream Impact Analysis, Transitive Impact Analysis]"

"Continuous stakeholder-intent reconciliation","Stakeholder Signal Collection","[Meeting Analysis, Ticket Analysis, Support Conversation Analysis, Communication Analysis]"
"Continuous stakeholder-intent reconciliation","Intent Extraction","[Intent Identification, Need Extraction, Expectation Extraction, Concern Extraction]"
"Continuous stakeholder-intent reconciliation","Intent Reconciliation","[Conflict Reconciliation, Intent Comparison, Intent Consolidation]"
"Continuous stakeholder-intent reconciliation","Requirement Synthesis","[Signal-to-Requirement Conversion, Requirement Consolidation, Requirement Refinement]"
"Continuous stakeholder-intent reconciliation","Requirement Baseline Maintenance","[Baseline Updating, Requirement Change Detection, Intent-to-Baseline Reconciliation]"

"Continuous domain-model drift detection","Domain Behaviour Monitoring","[Business Behaviour Observation, Process Behaviour Monitoring, Transaction Behaviour Monitoring]"
"Continuous domain-model drift detection","Domain Model Comparison","[Model-to-Behaviour Comparison, Model Version Comparison, Structural Comparison]"
"Continuous domain-model drift detection","Domain Drift Detection","[Concept Drift Detection, Relationship Drift Detection, Behaviour Drift Detection]"
"Continuous domain-model drift detection","Model Reconciliation","[Model Correction, Model Alignment, Behaviour-to-Model Reconciliation]"
"Continuous domain-model drift detection","Domain Model Validation","[Model Validation, Behaviour Validation, Domain Consistency Checking]"

"Predictive architectural obsolescence detection","Architecture Trend Analysis","[Architecture Trend Monitoring, Technology Trend Analysis, Usage Trend Analysis]"
"Predictive architectural obsolescence detection","Usage Analysis","[Usage Analysis, Adoption Analysis, Load Analysis, Growth Analysis]"
"Predictive architectural obsolescence detection","Scalability Analysis","[Capacity Analysis, Growth Analysis, Performance Scaling Analysis]"
"Predictive architectural obsolescence detection","Obsolescence Prediction","[Obsolescence Signal Detection, Obsolescence Forecasting, Lifecycle Prediction]"
"Predictive architectural obsolescence detection","Architecture Risk Detection","[Architecture Risk Identification, Scalability Risk Detection, Technology Risk Detection]"

"Cross-system structural pattern recognition","Structural Pattern Discovery","[Architecture Pattern Discovery, Structural Pattern Discovery, Dependency Pattern Discovery]"
"Cross-system structural pattern recognition","Cross-System Comparison","[Architecture Comparison, Structural Comparison, Dependency Comparison]"
"Cross-system structural pattern recognition","Architecture Pattern Analysis","[Pattern Analysis, Pattern Correlation, Pattern Classification]"
"Cross-system structural pattern recognition","Weakness Detection","[Structural Weakness Detection, Recurring Weakness Detection, Anomaly Detection]"
"Cross-system structural pattern recognition","Pattern Correlation","[Cross-System Correlation, Pattern Matching, Recurrence Analysis]"

"Cross-codebase pattern propagation","Pattern Discovery","[Code Pattern Discovery, Implementation Pattern Discovery, Fix Pattern Discovery]"
"Cross-codebase pattern propagation","Codebase Comparison","[Code Comparison, Structural Comparison, Dependency Comparison]"
"Cross-codebase pattern propagation","Change Propagation Analysis","[Applicability Analysis, Affected Code Identification, Propagation Analysis]"
"Cross-codebase pattern propagation","Fix Identification","[Equivalent Fix Discovery, Corrective Pattern Identification, Improvement Identification]"
"Cross-codebase pattern propagation","Change Recommendation","[Change Recommendation, Applicability Recommendation, Propagation Recommendation]"

"Continuous configuration drift detection","Configuration Monitoring","[Configuration Collection, Configuration State Monitoring, Environment Monitoring]"
"Continuous configuration drift detection","Configuration Comparison","[Desired-State Comparison, Environment Comparison, Version Comparison]"
"Continuous configuration drift detection","Drift Detection","[Configuration Drift Detection, Environment Drift Detection, Dependency Drift Detection]"
"Continuous configuration drift detection","Intent Verification","[Declared-Intent Verification, Configuration Policy Verification, Expected-State Verification]"
"Continuous configuration drift detection","Drift Analysis","[Drift Classification, Drift Impact Analysis, Drift Cause Analysis, Reconciliation Analysis]"

"Predictive test-coverage gap detection","Coverage Analysis","[Coverage Measurement, Coverage Analysis, Coverage Trend Analysis]"
"Predictive test-coverage gap detection","Defect Pattern Analysis","[Historical Defect Analysis, Defect Classification, Defect-Coverage Correlation]"
"Predictive test-coverage gap detection","Coverage Gap Prediction","[Gap Prediction, Defect Exposure Prediction, Coverage Risk Prediction]"
"Predictive test-coverage gap detection","Test Gap Identification","[Missing Test Identification, Weak Coverage Identification, Uncovered Scenario Identification]"
"Predictive test-coverage gap detection","Test Recommendation","[Test Case Recommendation, Test Scenario Recommendation, Coverage Improvement Recommendation]"

"Continuous vulnerability posture assessment","Vulnerability Discovery","[Vulnerability Identification, Vulnerability Scanning, Vulnerability Correlation]"
"Continuous vulnerability posture assessment","Exposure Analysis","[Exposure Discovery, Attack Surface Analysis, Exposure Assessment]"
"Continuous vulnerability posture assessment","Vulnerability Monitoring","[Vulnerability Monitoring, Vulnerability State Tracking, Remediation Monitoring]"
"Continuous vulnerability posture assessment","Vulnerability Correlation","[Cross-System Vulnerability Correlation, Vulnerability Pattern Analysis, Exposure Correlation]"
"Continuous vulnerability posture assessment","Security Posture Assessment","[Posture Measurement, Exposure Measurement, Security State Assessment]"

"Predictive threat-pattern anticipation","Threat Pattern Discovery","[Threat Intelligence Analysis, Emerging Pattern Discovery, Attack Pattern Analysis]"
"Predictive threat-pattern anticipation","Threat Correlation","[Threat-to-Asset Correlation, Threat-to-Vulnerability Correlation, Cross-System Threat Correlation]"
"Predictive threat-pattern anticipation","Exposure Prediction","[Exposure Prediction, Threat Exposure Forecasting, Attack Surface Prediction]"
"Predictive threat-pattern anticipation","Threat Assessment","[Threat Evaluation, Threat Relevance Assessment, Threat Impact Assessment]"
"Predictive threat-pattern anticipation","Preventive Analysis","[Pre-Emptive Exposure Analysis, Preventive Control Analysis, Preventive Action Identification]"

"Continuous policy-conflict detection","Policy Analysis","[Policy Extraction, Policy Interpretation, Policy Comparison]"
"Continuous policy-conflict detection","Rule Comparison","[Rule Extraction, Rule Comparison, Rule Relationship Analysis]"
"Continuous policy-conflict detection","Conflict Detection","[Policy Conflict Detection, Rule Conflict Detection, Contradiction Detection]"
"Continuous policy-conflict detection","Contradiction Analysis","[Contradiction Analysis, Conflict Context Analysis, Conflict Impact Analysis]"
"Continuous policy-conflict detection","Conflict Resolution Analysis","[Conflict Resolution Analysis, Alternative Interpretation Analysis, Reconciliation Analysis]"

"Continuous release-risk forecasting","Release Risk Analysis","[Release Risk Identification, Release Risk Assessment, Release Risk Correlation]"
"Continuous release-risk forecasting","Release History Analysis","[Historical Release Analysis, Release Outcome Analysis, Failure Pattern Analysis]"
"Continuous release-risk forecasting","Risk Prediction","[Release Risk Prediction, Failure Prediction, Outcome Prediction]"
"Continuous release-risk forecasting","Risk Trend Monitoring","[Risk Trend Monitoring, Emerging Risk Detection, Risk State Tracking]"
"Continuous release-risk forecasting","Release Impact Analysis","[Release Change Impact, Release Dependency Impact, Release Scope Impact]"

"Predictive incident anticipation","Telemetry Analysis","[Telemetry Collection, Telemetry Analysis, Signal Analysis]"
"Predictive incident anticipation","Anomaly Detection","[Anomaly Identification, Behavioural Deviation Detection, Threshold Analysis]"
"Predictive incident anticipation","Event Correlation","[Event Correlation, Signal Correlation, Temporal Correlation]"
"Predictive incident anticipation","Incident Prediction","[Incident Pattern Prediction, Failure Prediction, Incident Forecasting]"
"Predictive incident anticipation","Precursor Detection","[Precursor Identification, Leading Indicator Detection, Failure Signal Detection]"

"Autonomous root-cause synthesis","Root-Cause Discovery","[Cause Identification, Failure Chain Discovery, Contributing Factor Identification]"
"Autonomous root-cause synthesis","Causal Analysis","[Causal Relationship Analysis, Dependency Analysis, Failure Propagation Analysis]"
"Autonomous root-cause synthesis","Evidence Correlation","[Code Evidence Correlation, Infrastructure Evidence Correlation, Configuration Evidence Correlation, Decision Evidence Correlation]"
"Autonomous root-cause synthesis","Incident Reconstruction","[Timeline Reconstruction, State Reconstruction, Change Reconstruction]"
"Autonomous root-cause synthesis","Root-Cause Synthesis","[Cause Chain Synthesis, Evidence Synthesis, Root-Cause Explanation]"

"Autonomous standard synthesis","Practice Analysis","[Practice Observation, Practice Comparison, Practice Effectiveness Analysis]"
"Autonomous standard synthesis","Evidence Synthesis","[Evidence Collection, Evidence Correlation, Evidence Synthesis]"
"Autonomous standard synthesis","Standard Discovery","[Pattern Discovery, Common Practice Discovery, Recurring Practice Identification]"
"Autonomous standard synthesis","Standard Formulation","[Standard Drafting, Rule Formulation, Practice Specification]"
"Autonomous standard synthesis","Standard Refinement","[Standard Evaluation, Standard Revision, Standard Optimisation]"

"Cross-organisational capability benchmarking","Capability Measurement","[Capability Measurement, Performance Measurement, Outcome Measurement]"
"Cross-organisational capability benchmarking","Capability Comparison","[Peer Comparison, Capability Instance Comparison, Performance Comparison]"
"Cross-organisational capability benchmarking","Maturity Assessment","[Maturity Measurement, Maturity Gap Analysis, Capability State Assessment]"
"Cross-organisational capability benchmarking","Benchmark Analysis","[Benchmark Construction, Benchmark Comparison, Variance Analysis]"
"Cross-organisational capability benchmarking","Improvement Identification","[Capability Gap Identification, Improvement Opportunity Discovery, Improvement Analysis]"

"Continuous objective-alignment monitoring","Objective Monitoring","[Objective State Monitoring, Objective Change Detection, Objective Tracking]"
"Continuous objective-alignment monitoring","Work Alignment Analysis","[Work-to-Objective Mapping, Alignment Analysis, Contribution Analysis]"
"Continuous objective-alignment monitoring","Objective Drift Detection","[Alignment Drift Detection, Objective Deviation Detection, Context Drift Detection]"
"Continuous objective-alignment monitoring","Business Context Analysis","[Business Context Monitoring, Business Change Analysis, Environmental Change Analysis]"
"Continuous objective-alignment monitoring","Alignment Assessment","[Alignment Evaluation, Contribution Evaluation, Objective Reconciliation]"
