capability name,Description,roles,worktypes
"Governing engineering decisions","Governing engineering decisions","[Decision Analysis, Decision Evaluation, Decision Recording, Decision Traceability, Decision Review]","[Decision Identification, Decision Analysis, Option Analysis, Evidence Collection, Decision Evaluation, Decision Recording, Decision Traceability, Decision Review]"
"Managing software release","Managing software release","[Release Planning, Release Preparation, Release Packaging, Release Validation, Release Deployment, Release Tracking]","[Release Planning, Release Assembly, Release Packaging, Release Validation, Deployment Preparation, Deployment Execution, Release Verification, Release Tracking, Release Rollback]"
"Operating production systems","Operating production systems","[Production Monitoring, Operational Management, Performance Management, Capacity Management, Availability Management, Operational Support]","[System Monitoring, Service Monitoring, Performance Monitoring, Capacity Monitoring, Availability Monitoring, Operational Support, Operational Maintenance, Operational Issue Handling]"
"Recovering organisational knowledge","Recovering organisational knowledge","[Knowledge Discovery, Knowledge Extraction, Knowledge Reconstruction, Knowledge Validation, Knowledge Structuring]","[Knowledge Discovery, Information Extraction, Behaviour Reconstruction, Architecture Reconstruction, Process Reconstruction, Dependency Reconstruction, Knowledge Validation, Knowledge Structuring]"
"Learning from operational experience","Learning from operational experience","[Experience Capture, Incident Learning, Pattern Identification, Lesson Extraction, Knowledge Consolidation]","[Experience Capture, Incident Analysis, Event Analysis, Pattern Identification, Lesson Extraction, Lesson Validation, Knowledge Consolidation]"
"Improving engineering practice","Improving engineering practice","[Practice Analysis, Practice Evaluation, Practice Improvement, Experimentation, Practice Adoption]","[Practice Observation, Practice Analysis, Practice Assessment, Improvement Identification, Experiment Design, Practice Experimentation, Practice Evaluation, Practice Adoption]"
"Adapting to changing business need","Adapting to changing business need","[Change Identification, Impact Analysis, Requirement Adaptation, Solution Adaptation, Change Implementation]","[Change Identification, Business Change Analysis, Impact Analysis, Requirement Change, Requirement Reconciliation, Solution Adaptation, Change Implementation, Change Verification]"
"Continuous architectural analysis","replaces periodic milestone review with persistent, continuous evaluation","[Architecture Monitoring, Architecture Analysis, Architecture Evaluation, Architecture Drift Detection, Architecture Impact Analysis]","[Architecture Observation, Architecture Analysis, Architecture Comparison, Architecture Drift Detection, Dependency Analysis, Architecture Impact Analysis, Architecture Trend Analysis]"
"Real-time organisational documentation","replaces documentation that lags implementation with continuous generation, validation and refinement","[Documentation Generation, Documentation Synchronisation, Documentation Validation, Documentation Refinement, Documentation Maintenance]","[Content Extraction, Documentation Generation, Documentation Synchronisation, Change Detection, Documentation Validation, Documentation Refinement, Documentation Update]"
"Automatic traceability generation","replaces selective, expensive traceability with continuous establishment and validation as artefacts evolve","[Traceability Establishment, Traceability Maintenance, Traceability Validation, Traceability Gap Detection, Traceability Analysis]","[Relationship Discovery, Traceability Creation, Traceability Update, Traceability Validation, Traceability Gap Detection, Traceability Impact Analysis]"
"Knowledge recovery from legacy systems","reconstructing engineering knowledge that had effectively disappeared, rather than only analysing current behaviour","[Legacy Knowledge Discovery, Behaviour Reconstruction, Architecture Reconstruction, Dependency Reconstruction, Knowledge Validation]","[Legacy Code Analysis, Behaviour Extraction, Architecture Reconstruction, Dependency Discovery, Data Structure Reconstruction, Business Rule Reconstruction, Knowledge Validation]"
"Continuous compliance verification","replaces periodic audit (a snapshot) with continuous evaluation against policy and regulatory obligation","[Compliance Assessment, Compliance Evidence Analysis, Compliance Gap Detection, Compliance Verification, Compliance Monitoring]","[Obligation Identification, Compliance Evidence Collection, Evidence Evaluation, Compliance Checking, Gap Detection, Compliance Verification, Compliance Monitoring]"
"Engineering decision explainability","decisions remain explicitly connected to their supporting evidence, knowledge, policy, objective and outcome","[Decision Evidence Linking, Decision Rationale Capture, Decision Traceability, Decision Context Reconstruction, Decision Outcome Analysis]","[Evidence Collection, Evidence Linking, Rationale Capture, Decision Context Reconstruction, Decision Traceability, Outcome Analysis]"
"Evidence-based organisational reasoning","reasoning through shared organisational knowledge rather than solely through synchronous conversation/meeting","[Evidence Discovery, Evidence Synthesis, Knowledge Correlation, Evidence Evaluation, Organisational Reasoning]","[Evidence Discovery, Evidence Extraction, Evidence Correlation, Knowledge Synthesis, Evidence Evaluation, Context Reconstruction, Organisational Reasoning]"
"Continuous requirements validation","Continuous requirements validation","[Continuous Requirement Validation, Requirement Consistency Monitoring, Requirement Completeness Monitoring, Requirement Drift Detection, Requirement Traceability Monitoring]","[Requirement Monitoring, Consistency Monitoring, Completeness Monitoring, Ambiguity Detection, Requirement Drift Detection, Traceability Monitoring, Continuous Validation]"
"Predictive engineering risk assessment","Predictive engineering risk assessment","[Risk Identification, Risk Prediction, Risk Correlation, Risk Impact Analysis, Risk Trend Analysis]","[Risk Signal Collection, Risk Identification, Risk Correlation, Risk Pattern Analysis, Risk Prediction, Risk Impact Analysis, Risk Trend Analysis]"
"Continuous quality assurance","Continuous quality assurance","[Quality Monitoring, Quality Assessment, Quality Verification, Quality Trend Analysis, Quality Gap Detection]","[Quality Monitoring, Quality Measurement, Quality Assessment, Quality Trend Analysis, Quality Anomaly Detection, Quality Gap Detection, Quality Verification]"
"Organisational memory synthesis","Organisational memory synthesis across multiple projects","[Knowledge Aggregation, Knowledge Correlation, Cross-Project Synthesis, Pattern Extraction, Knowledge Consolidation]","[Knowledge Collection, Knowledge Aggregation, Cross-Project Comparison, Knowledge Correlation, Pattern Extraction, Knowledge Synthesis, Knowledge Consolidation]"
"Continuous organisational learning","Continuous organisational learning","[Experience Capture, Knowledge Extraction, Pattern Learning, Lesson Synthesis, Practice Adaptation]","[Experience Collection, Knowledge Extraction, Pattern Discovery, Lesson Identification, Lesson Synthesis, Learning Application, Practice Adaptation]"
"Autonomous capability optimisation","Autonomous capability optimisation","[Capability Assessment, Capability Analysis, Performance Analysis, Improvement Identification, Optimisation]","[Capability Measurement, Capability Assessment, Performance Analysis, Bottleneck Identification, Improvement Identification, Improvement Evaluation, Optimisation]"
"Enterprise-wide engineering impact analysis","Enterprise-wide engineering impact analysis","[Impact Discovery, Dependency Analysis, Change Impact Analysis, Cross-System Impact Analysis, Impact Propagation Analysis]","[Change Identification, Dependency Discovery, Dependency Analysis, Impact Discovery, Cross-System Analysis, Change Impact Analysis, Impact Propagation Analysis]"
"Continuous stakeholder-intent reconciliation","persistently synthesising scattered stakeholder signal (meetings, tickets, support conversations, emails) into a single current requirement baseline, instead of periodic elicitation sessions","[Stakeholder Signal Collection, Intent Extraction, Intent Reconciliation, Requirement Synthesis, Requirement Baseline Maintenance]","[Signal Collection, Conversation Analysis, Ticket Analysis, Feedback Analysis, Intent Extraction, Intent Correlation, Intent Reconciliation, Requirement Synthesis, Baseline Update]"
"Continuous domain-model drift detection","catching the moment a documented domain model diverges from how the business actually behaves, rather than discovering it at the next modelling exercise","[Domain Behaviour Monitoring, Domain Model Comparison, Domain Drift Detection, Model Reconciliation, Domain Model Validation]","[Business Behaviour Observation, Behaviour Extraction, Model Comparison, Drift Detection, Divergence Analysis, Model Reconciliation, Model Validation]"
"Predictive architectural obsolescence detection","forecasting when a pattern will fail to scale from continuous trend analysis of usage and load, before it actually breaks","[Architecture Trend Analysis, Usage Analysis, Scalability Analysis, Obsolescence Prediction, Architecture Risk Detection]","[Usage Analysis, Load Analysis, Growth Trend Analysis, Architecture Trend Analysis, Scalability Analysis, Obsolescence Prediction, Architecture Risk Assessment]"
"Cross-system structural pattern recognition","spotting a structural weakness in one system because an AI participant has simultaneously reasoned over the architecture of every other system the organisation runs","[Structural Pattern Discovery, Cross-System Comparison, Architecture Pattern Analysis, Weakness Detection, Pattern Correlation]","[Structure Extraction, Architecture Comparison, Pattern Discovery, Cross-System Comparison, Structural Correlation, Weakness Detection, Pattern Analysis]"
"Cross-codebase pattern propagation","the instant a fix or improvement is made anywhere, identifying and proposing the equivalent fix everywhere else it applies, across the entire portfolio at once","[Pattern Discovery, Codebase Comparison, Change Propagation Analysis, Fix Identification, Change Recommendation]","[Code Pattern Discovery, Codebase Comparison, Pattern Matching, Fix Identification, Applicability Analysis, Change Propagation Analysis, Change Recommendation]"
"Continuous configuration drift detection","persistently verifying that deployed configuration across every environment still matches declared intent, rather than catching drift during an incident","[Configuration Monitoring, Configuration Comparison, Drift Detection, Intent Verification, Drift Analysis]","[Configuration Collection, Configuration Comparison, Desired-State Comparison, Drift Detection, Drift Analysis, Intent Verification, Configuration Reconciliation]"
"Predictive test-coverage gap detection","identifying, before any defect occurs, which class of defect current test coverage would fail to catch, reasoned from historical defect/architecture correlation","[Coverage Analysis, Defect Pattern Analysis, Coverage Gap Prediction, Test Gap Identification, Test Recommendation]","[Coverage Measurement, Coverage Analysis, Historical Defect Analysis, Defect Pattern Correlation, Coverage Gap Detection, Gap Prediction, Test Recommendation]"
"Continuous vulnerability posture assessment","whole-portfolio exposure analysis maintained continuously, rather than periodic penetration testing","[Vulnerability Discovery, Exposure Analysis, Vulnerability Monitoring, Vulnerability Correlation, Security Posture Assessment]","[Vulnerability Discovery, Vulnerability Scanning, Exposure Analysis, Vulnerability Correlation, Security Monitoring, Posture Assessment, Exposure Tracking]"
"Predictive threat-pattern anticipation","recognising an emerging attack pattern elsewhere in the industry and pre-emptively checking the organisation systems for the same exposure before it is exploited","[Threat Pattern Discovery, Threat Correlation, Exposure Prediction, Threat Assessment, Preventive Analysis]","[Threat Intelligence Analysis, Threat Pattern Discovery, Threat Correlation, Exposure Detection, Exposure Prediction, Threat Assessment, Preventive Analysis]"
"Continuous policy-conflict detection","persistently checking every active policy, standard and decision across the whole organisation for latent contradiction, at a scale no governance board could track exhaustively","[Policy Analysis, Rule Comparison, Conflict Detection, Contradiction Analysis, Conflict Resolution Analysis]","[Policy Extraction, Rule Extraction, Policy Comparison, Rule Comparison, Conflict Detection, Contradiction Analysis, Conflict Impact Analysis]"
"Continuous release-risk forecasting","an ongoing, continuously updated risk prediction for an in-progress release, reasoned from the complete history of every prior release outcome, rather than a single go/no-go review","[Release Risk Analysis, Release History Analysis, Risk Prediction, Risk Trend Monitoring, Release Impact Analysis]","[Release History Analysis, Release Signal Collection, Risk Correlation, Risk Trend Analysis, Risk Prediction, Release Impact Analysis, Risk Monitoring]"
"Predictive incident anticipation","recognising the precursor conditions of a future production incident from continuous telemetry correlation before it manifests","[Telemetry Analysis, Anomaly Detection, Event Correlation, Incident Prediction, Precursor Detection]","[Telemetry Collection, Telemetry Analysis, Anomaly Detection, Event Correlation, Pattern Detection, Precursor Identification, Incident Prediction]"
"Autonomous root-cause synthesis","reconstructing a full root-cause chain across code, infrastructure, configuration and decision history the instant an incident occurs, rather than requiring multi-team manual investigation","[Root-Cause Discovery, Causal Analysis, Evidence Correlation, Incident Reconstruction, Root-Cause Synthesis]","[Incident Data Collection, Evidence Extraction, Event Correlation, Timeline Reconstruction, Dependency Analysis, Causal Analysis, Root-Cause Synthesis]"
"Autonomous standard synthesis","drafting or refining engineering standards directly from continuously accumulating evidence of what works, rather than through periodic committee review","[Practice Analysis, Evidence Synthesis, Standard Discovery, Standard Formulation, Standard Refinement]","[Practice Observation, Practice Analysis, Evidence Collection, Evidence Synthesis, Pattern Extraction, Standard Drafting, Standard Refinement]"
"Cross-organisational capability benchmarking","continuously comparing this organisation capability maturity against every other capability instance the platform hosts, surfacing improvement opportunities no organisation could see in isolation","[Capability Measurement, Capability Comparison, Maturity Assessment, Benchmark Analysis, Improvement Identification]","[Capability Measurement, Performance Measurement, Maturity Assessment, Peer Comparison, Benchmark Analysis, Gap Identification, Improvement Identification]"
"Continuous objective-alignment monitoring","persistently checking whether ongoing engineering work still serves its stated Objective as business conditions shift, flagging drift automatically instead of waiting for a scheduled review","[Objective Monitoring, Work Alignment Analysis, Objective Drift Detection, Business Context Analysis, Alignment Assessment]","[Objective Tracking, Work Analysis, Business Context Analysis, Alignment Analysis, Objective Drift Detection, Impact Analysis, Alignment Assessment]"
